TipoTeste,Algoritmo,ArquivoLog,TamPagina,TamMemoria,PaginasLidas,PaginasEscritas
Teste2,random,matriz.log,16,1024,26978,6883
Teste2,random,matriz.log,32,1024,61214,13833
Teste2,random,matriz.log,64,1024,131308,30386
Teste2,random,compressor.log,2,1024,419,0
Teste2,random,compressor.log,4,1024,392,63
Teste2,random,compressor.log,8,1024,661,211
Teste2,random,compressor.log,16,1024,971,356
Teste2,random,compressor.log,32,1024,1275,469
Teste2,random,compressor.log,64,1024,2178,773
Teste2,random,simulador.log,2,1024,12395,4651
Teste2,random,simulador.log,4,1024,15876,5428
Teste2,random,simulador.log,8,1024,23959,7540
Teste2,random,simulador.log,16,1024,39706,10856
Teste2,random,simulador.log,32,1024,62335,15283
Teste2,random,simulador.log,64,1024,85902,20696
Teste2,clock,compilador.log,2,1024,16936,3280
Teste2,clock,compilador.log,4,1024,26789,4528
Teste2,clock,compilador.log,8,1024,38827,6250
Teste2,clock,compilador.log,16,1024,49831,8362
Teste2,clock,compilador.log,32,1024,63302,9988
Teste2,clock,compilador.log,64,1024,81255,12734
Teste2,clock,matriz.log,2,1024,4924,1553
Teste2,clock,matriz.log,4,1024,5980,1973
Teste2,clock,matriz.log,8,1024,12896,3844
Teste2,clock,matriz.log,16,1024,16884,4739
Teste2,clock,matriz.log,32,1024,35656,7527
Teste2,clock,matriz.log,64,1024,123055,34571
Teste2,clock,compressor.log,2,1024,419,0
Teste2,clock,compressor.log,4,1024,432,71
Teste2,clock,compressor.log,8,1024,577,163
Teste2,clock,compressor.log,16,1024,741,275
Teste2,clock,compressor.log,32,1024,994,379
Teste2,clock,compressor.log,64,1024,1667,576
Teste2,clock,simulador.log,2,1024,8749,3589
Teste2,clock,simulador.log,4,1024,11876,4319
Teste2,clock,simulador.log,8,1024,17923,6070
Teste2,clock,simulador.log,16,1024,31677,8653
Teste2,clock,simulador.log,32,1024,50484,11183
Teste2,clock,simulador.log,64,1024,65522,12786
Teste2,fifo,compilador.log,2,1024,21639,4442
Teste2,fifo,compilador.log,4,1024,31698,5945
Teste2,fifo,compilador.log,8,1024,44465,8135
Teste2,fifo,compilador.log,16,1024,57600,10858
Teste2,fifo,compilador.log,32,1024,72140,13794
Teste2,fifo,compilador.log,64,1024,93778,18860
Teste2,fifo,matriz.log,2,1024,6097,1993
Teste2,fifo,matriz.log,4,1024,8551,2836
Teste2,fifo,matriz.log,8,1024,15410,4505
Teste2,fifo,matriz.log,16,1024,22815,6114
Teste2,fifo,matriz.log,32,1024,59061,13543
Teste2,fifo,matriz.log,64,1024,137751,33692
Teste2,fifo,compressor.log,2,1024,419,0
Teste2,fifo,compressor.log,4,1024,511,125
Teste2,fifo,compressor.log,8,1024,570,191
Teste2,fifo,compressor.log,16,1024,850,335
Teste2,fifo,compressor.log,32,1024,1119,440
Teste2,fifo,compressor.log,64,1024,1956,735
Teste2,fifo,simulador.log,2,1024,11449,4510
Teste2,fifo,simulador.log,4,1024,15440,5426
Teste2,fifo,simulador.log,8,1024,22816,7413
Teste2,fifo,simulador.log,16,1024,37606,10399
Teste2,fifo,simulador.log,32,1024,60922,14653
Teste2,fifo,simulador.log,64,1024,81506,19786
